generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_damage,mean_gate_distance,success_rate,champion_id,elite_ids
217,389.9388427734375,385.095703125,343.7497863769531,642.0,1.0,0.0,2.0,7.0,20.1875,0.0,3,3 1
218,350.7696228027344,348.4040832519531,308.4268798828125,616.5999755859375,1.0,0.0,2.0,7.0,21.21875,0.0,3,3 2
219,354.55902099609375,353.0895080566406,313.07073974609375,614.7999877929688,1.0,0.0,2.0,7.0,20.53125,0.0,3,3 1
220,293.0067138671875,288.46258544921875,250.16604614257812,580.5999755859375,1.0,0.0,2.0,7.0,22.875,0.0,3,3 2
221,290.43914794921875,285.99853515625,249.5651092529297,543.4000244140625,1.0,0.0,2.0,7.0,22.9375,0.0,3,3 2
222,320.30963134765625,319.66900634765625,282.58465576171875,556.4000244140625,1.0,0.0,2.0,7.018750190734863,22.96875,0.0,3,3 2
223,329.09478759765625,326.3441162109375,287.9183349609375,585.5999755859375,1.0,0.0,2.0,7.056250095367432,20.40625,0.0,3,3 1
224,357.97613525390625,357.45184326171875,319.18121337890625,583.2000122070312,1.0,0.0,2.0,6.875,20.59375,0.0,0,0 1
225,394.7803955078125,393.6546325683594,353.9898986816406,607.7999877929688,1.0,0.0,2.0,7.043749809265137,18.375,0.0,3,3 2
226,380.2322692871094,379.51324462890625,340.74847412109375,589.7999877929688,1.0,0.0,2.0,7.043749809265137,18.28125,0.0,1,1 3
227,363.10235595703125,362.69305419921875,323.5093078613281,598.5999755859375,1.0,0.0,2.0,7.0,20.34375,0.0,0,2 0
228,362.0966491699219,360.98565673828125,322.96124267578125,580.4000244140625,1.0,0.0,2.0,7.0,21.3125,0.0,3,3 0
229,314.9348449707031,311.77557373046875,279.54937744140625,467.20001220703125,1.0,0.0,2.0,6.84375,19.8125,0.0,0,0 2
230,337.76092529296875,333.85540771484375,301.79632568359375,463.3999938964844,1.0,0.0,2.0,7.0,21.8125,0.0,2,2 0
231,337.1581115722656,335.3428955078125,302.19683837890625,474.20001220703125,1.0,0.0,2.0,7.993750095367432,19.34375,0.0,2,2 0
232,315.74755859375,311.0749206542969,279.8530578613281,443.6000061035156,1.0,0.0,2.0,7.1875,23.53125,0.0,2,2 0
233,334.3631286621094,331.88189697265625,297.0221252441406,522.2000122070312,1.0,0.0,2.0,6.868750095367432,23.53125,0.0,0,0 2
234,357.2404479980469,354.09271240234375,318.2064514160156,537.4000244140625,1.0,0.0,2.0,7.0,22.78125,0.0,2,2 0
235,318.2208557128906,316.0521240234375,282.860595703125,498.6000061035156,1.0,0.0,2.0,7.0,26.21875,0.0,2,4 2
